video,scene_idx,t_start,t_end,sentence,attributes,actions,interactions
Abuse006_x264,16,62.7,69.7,Four police officers stopped beating people on the ground,,beating,people
Abuse006_x264,17,62.7,69.7,Two policemen on both sides of the people on the ground stood up,,stood up,people on the ground
Abuse006_x264,18,62.7,69.7,The men on both sides of his legs are still squatting and looking at him,,squatting;looking at,him
Abuse006_x264,19,70.1,74.1,The two policemen on both sides of the man on the ground bent slightly and looked at the man on the ground.,,bent slightly;looked at,man on the ground
Abuse006_x264,20,70.1,74.1,The policeman on the right side of the man stood up and looked at his head,,stood up;looked at his head,man
Abuse006_x264,21,70.1,74.1,The policeman on the left also stood up,unknown,stood up,policeman
Abuse006_x264,22,78.1,80.5,The policeman on the left side of the man on the ground pushed the man's buttocks and turned him over. The policeman bent over.,man;left side,pushed;turned over,man
Abuse006_x264,23,84.5,86.5,A white police car drove in with its lights on.,white;police car,driving,light on
Abuse006_x264,24,88.8,95.8,A policeman got out of the driver's seat of the white police car and walked towards the other policemen,white police car,got out of the driver's seat,other policemen
Abuse006_x264,25,95.5,98.6,The policeman who got out of the driver's seat of the white police car walked to where the other four policemen were. Several of them stood side by side. There was one policeman left next to the man on the ground. Another policeman next to the man on the ground walked towards the white police car. The driver's seat came down next to the policeman.,white police car,got out of the driver's seat,four policemen;one policeman;man on the ground;another policeman;driver's seat
Abuse006_x264,26,99.6,107.5,"The man on the ground was struggling and rolling. One policeman was still bending down and holding him down. Another policeman came over to see the situation, and the other policemen stood and watched.",,,
Abuse006_x264,27,97.5,100.1,A white police car drove up opposite the white police car in the middle and parked on the right opposite the middle police car.,white;police car,driving up;parked on the right,middle police car
Abuse006_x264,28,105.5,119.1, Two policemen wearing blue clothes came down and walked towards the place where the five policemen were in the middle.,blue clothes,came down;walked towards,five policemen
Abuse006_x264,29,108.5,114.5,The policeman on the side of the prisoner's head on the ground walked from the side of his head to his feet and picked up something from the ground.,prisoner,walked;picking something from the ground,prisoner
Abuse006_x264,30,116.5,118.5,Another policeman walked in on the right and looked at the prisoner,,walked in;looked at,prisoner
Abuse006_x264,31,120.0,121.5,"The man on the ground was pulled up by the policeman on the left side of his body. The man leaned against the policeman, his back on the policeman's chest, and the policeman strangled his neck with his hands.",unknown,pulled up;strangled,policeman;man
Abuse006_x264,32,124.4,130.4, Five policemen surrounded the man lying on the ground. One of the five policemen slapped his waistband again.,,slapped his waistband again,man
Abuse006_x264,33,124.4,130.4," Three policemen were communicating next to them, forming a triangle.",,communicating,policemen
Abuse006_x264,34,130.8,135.2,"One of the five policemen walked to one side of the three policemen, and one of the three policemen left and walked to the white police car in the middle.",white police car,walked to one side,three policemen;policemen
Abuse006_x264,35,135.7,140.2,"After the two policemen approaching the white police car on the far right said something, one of the policemen stepped to the side of the police car's reversing mirror, with his back to the police car. The two looked to the side and four people were surrounding the ground.",white police car;reversing mirror,said something;stepped to the side,four people;ground
Abuse006_x264,36,132.2,143.9,"A policeman walked to the white police car in the middle, opened the driver's door, took something, closed the door, and walked back.",white;police car,walked;opened the driver's door;took something;closed the door;walked back,policeman;driver;something
Abuse006_x264,37,143.9,146.0,"The prisoner on the ground was dragged by a policeman towards the white police car in the middle, followed by six other policemen, and the policeman who had just walked over from the white police car gave way to them.",white police car;policeman;prisoner,dragged;given way to,six other policemen;policeman
Abuse007_x264,0,0.1,3.5,A man wearing black short-sleeved green shorts walked towards the door at one end of the corridor. A tall and strong man in black uniform walked towards him. This man was tall and strong. The man raised his right hand and slapped the man in shorts.,male;black uniform,slapped,tall and strong man in black uniform
Abuse007_x264,1,0.1,3.5,"At the same time, a man walked in the opposite direction of the man in shorts. When the strong man hit the man in shorts, he turned back.",male;shorts,hit;turning back,strong man
Abuse007_x264,2,3.3,4.5,The man in shorts was slapped to the ground by the strong man opposite.,strong man,slapped to the ground,opposite
Abuse007_x264,3,4.9,6.5,Man in shorts stands up,,stands up,
Abuse007_x264,4,7.9,9.5,The strong man pointed in the direction of the front door to let the man in shorts pass.,,,
Abuse007_x264,5,9.8,19.6,"The man in shorts and short sleeves walked towards the corridor door, and the strong man in black clothes followed behind him",shorts;short sleeves,walked;towards the corridor door,strong man in black clothes
Abuse007_x264,6,9.8,19.6,The man in shorts and short sleeves walked a few steps and looked back at the strong man in black clothes.,shorts;short sleeves,walked a few steps,strong man in black clothes
Abuse007_x264,7,18.8,21.6,Someone walked out of the middle door,,walked out,middle door
Abuse007_x264,8,16.7,19.7,The man coming out of the door in the middle of the corridor is about to be followed by a strong man.,,coming out of the door,strong man
Abuse007_x264,9,20.0,21.7,The strong man raised his left finger and turned around.,,raised his left finger;turned around,unknown
Abuse007_x264,10,21.7,37.9,"The strong man walked towards the opposite side of the corridor door, and the man in shorts followed him at a distance.",,walked;towards the opposite side of the corridor door,man in shorts
Abuse007_x264,11,22.2,24.6,The strong man turned and left.,,turned;left,
Abuse007_x264,12,28.6,30.1,"A man wearing shorts found that his shoes were broken, lowered his head to check",shorts;broken shoes,found that his shoes were broken,lowered his head to check
Abuse007_x264,13,30.3,37.7,Men in shorts also follow the men with bigger bodies.,,following,men with bigger bodies
Abuse008_x264,0,0.0,10.3,A female police officer in black uniform bent down and took off the shoes of a woman who was sitting in the prison and threw the shoes on the ground,black uniform,took off the shoes,prison;woman
Abuse008_x264,1,11.4,28.0,"The female police officer asked the woman to stand up and lie on the wall and searched her body from bottom to top; the woman was wearing a blue top; at this time, there was another male policeman standing at the door.",unknown;blue top,wearing a blue top;stood up;lying on the wall,another male policeman
Abuse008_x264,2,27.4,39.2,"The police asked the woman to lift her right leg back, and then the female police officer bent over and searched with both hands.",female;red top,lifting;bent over;searching with both hands,police
Abuse008_x264,3,40.2,42.4,A bald male policeman came into prison,,came into prison,prison
Abuse008_x264,4,43.5,48.6,The male policeman who just came in put a quilt in the house and walked out.,unknown;quilt,came in;put a quilt in the house,house
Abuse008_x264,5,49.0,71.4,The female police officer stood up and faced the woman. The woman turned around and put her hand into her shirt to grope,unknown,groping,woman
Abuse008_x264,6,72.4,84.0,"The female police officer walked to the door, but the woman was still groping for her shirt.",unknown,groping for her shirt,woman
Abuse008_x264,7,85.3,94.4,The woman took out a red object from her clothes. The female police officer came from the door and took away the red object from the woman's hand.,female;red top,took out;red object,police officer;hand
Abuse008_x264,8,95.2,96.4,The female police officer walked outside the door.,unknown,walked;outside the door,door
Abuse008_x264,9,97.8,131.4,"The woman faced the door, spoke towards the door, and sometimes made gestures and movements with her hands.",female;unknown,faced the door;spoke towards the door;made gestures and movements with her hands,door
Abuse008_x264,10,132.9,136.6,The woman walked out of the door,female;unknown,walking;holding a child,unknown
Abuse008_x264,11,145.3,149.6,The police pushed the woman hard into the prison. The woman fell to the ground and hit her head on the bed.,,,
Abuse008_x264,12,150.0,155.8,A male policeman came in from outside the door,,came in,door
Abuse008_x264,13,156.4,163.6,The policeman straddled the woman's legs and bent down to look at the woman who fell on the ground. He reached out to pull her up and walked outside the door.,policeman;straddled the woman's legs,bent down to look at the woman;reached out to pull her up,woman;fell on the ground;walked outside the door
Abuse008_x264,14,164.7,166.0,Two policemen walked into the house one after another.,,walked,house
Abuse008_x264,15,167.9,168.7,A policeman bent down to straighten the woman’s shoes and then walked out of the house,unknown,straightening shoes;walked out of the house,policeman
Abuse008_x264,16,169.3,172.5,A policeman squatted down to ask about the woman’s situation and put his left hand on her back; the woman was lying on the ground with her head hanging down.,unknown;left hand,squatting down;asking about the woman's situation,woman;policeman
Abuse008_x264,17,173.1,175.4,A policeman walked in,female;red top,walking;holding a child;policeman,child;unknown
Abuse008_x264,18,176.2,197.3,"The female policeman held a book in her hand and bent down to ask the woman. The male policeman sat behind the woman, and the woman leaned on the male policeman’s hand.",,,
Abuse008_x264,19,198.3,201.8,Another policeman came in,unknown,came in,policeman
Abuse008_x264,20,202.5,214.9," After a male policeman brought in a roll of paper towels, he and another male policeman wiped the woman’s face",unknown;paper towels,brought in;wiped the woman's face,policeman 1;policeman 2
Abuse008_x264,21,215.8,220.6,A policeman walks out the door,,walks,door
Abuse008_x264,22,221.2,226.7,Two policemen in the house were taking care of the woman on the ground. The policeman who went out walked back into the house!,female;red top;unknown,walking;holding a child;unknown,child;unknown
Abuse008_x264,23,227.2,230.9,A policeman walked out again,female;red top;unknown,walking;holding a child;unknown,child;unknown
Abuse008_x264,24,231.4,235.0,A policeman stood up,,stood up,
Abuse008_x264,25,236.6,240.5,The female police officer stood up and walked out of the house,unknown,stood up;walked out of the house,house
Abuse008_x264,26,247.1,255.1,"Three policemen came to the door, one walked into the door, and two pointed at the woman outside the door.",,came to the door;walked into the door;pointed at the woman,policemen;woman
Abuse008_x264,27,263.5,266.4,Two policemen left the door,,left the door,door
Abuse008_x264,28,270.9,273.5,The policeman at the door also left,unknown,left,policeman
Abuse009_x264,0,0.0,7.2,"At night, there were a bunch of men standing at the bulletin board on the street, and there was another man standing on the other side, holding a child in his arms.",,,
Abuse009_x264,1,8.9,15.2,"The man standing on the other side slammed the child in his hands to the ground, and then picked up the child.",male;unknown,slammed;picking up the child,child
Abuse009_x264,2,14.9,16.0,"The man picked up the child and ran towards the group of men, and then hit one of the men with the child heavily in his hand.",male;unknown,picking up the child;ran towards the group of men,men;hit one of the men with the child heavily in his hand
Abuse009_x264,3,16.3,22.2,"The man who was hit caught the child, and then the two men pulled each other to grab the child.",,hit;pulled,child
Abuse009_x264,4,23.2,26.9,"A man slammed the child in his hand to the ground, picked it up, and then rushed to the crowd on one side.",male;unknown,slammed the child;picked it up;rushed to the crowd,crowd
Abuse010_x264,0,0.0,2.3,There are two silver cars driving opposite each other on the road and passing each other.,silver cars,passing each other,road
Abuse010_x264,1,3.2,5.1,"Two puppies ran onto the road, one dog ran across the road, and the other dog was pinned down by a car. The car didn't know it and drove away without stopping.",puppies;dog;unknown,ran;crossed the road;pinned down,road;puppies;dog;car
Abuse010_x264,2,6.0,11.9,"The suppressed puppy kicked its legs in the air, struggling and rolling",puppy,"kicked its legs in the air, struggling and rolling",unknown
Abuse010_x264,3,6.0,14.9,"The other dog saw it and ran around a corner, then circled around the pressed puppy, lowered its head to sniff it, and then ran away.",dog;pressed puppy,saw it;ran around a corner;circled around the pressed puppy;lowered its head to sniff it;ran away,other dog;pressed puppy
Abuse010_x264,4,12.9,19.5,"A curly-haired woman in shorts ran over from the side of the road. She raised her hand to signal vehicles not to run over the puppy, and ran towards the struggling puppy lying on the ground.",,,
Abuse010_x264,5,15.5,21.3,The puppy that just left ran two laps and came back,puppy,ran;came back,unknown
Abuse010_x264,6,21.5,32.2,"The woman picked up the puppy lying motionless on the ground with both hands, walked to the side of the road and walked away",unknown;puppy,picking up;lying motionless;walking to the side of the road;walking away,road
Abuse010_x264,7,21.5,32.2,"Another puppy followed the woman and walked away, circling around to see the injured puppy's injuries.",unknown;puppy,puppy;walked away,unknown
Abuse010_x264,8,32.7,37.1,"A blue tricycle passed by on the road, followed by a black car.",blue tricycle,passed by,black car
